Feature_Set,Accuracy,Precision,Recall,F1_Score,ROC_AUC,Accuracy_vs_Baseline
Market Only,0.5542168674698795,0.587378640776699,0.657608695652174,0.6205128205128205,0.538153642773208,0.0
Market + Sentiment,0.5120481927710844,0.5533980582524272,0.6195652173913043,0.5846153846153846,0.4920314336075206,-0.04216867469879515
