Trading_Date,Daily_Avg_Sentiment,Daily_Positive_Score,Daily_Neutral_Score,Daily_Negative_Score,Positive_News_Count,Neutral_News_Count,Negative_News_Count,Sentiment_Volatility,News_Count
2016-02-19,0.07775320279924447,0.24959502448542878,0.5785631538283869,0.1718418216861843,0,1,0,0.0,1
2017-10-05,0.13340225163758732,0.25463619389161085,0.6241298638543655,0.12123394225402354,0,1,0,0.0,1
2017-11-27,0.17931879517610289,0.2664460670853461,0.6464266610054106,0.08712727190924324,0,1,0,0.0,1
2017-11-30,0.36456406971132477,0.44609194643413363,0.4723801768430574,0.08152787672280885,0,1,0,0.0,1
2018-01-31,0.11182592466806612,0.22844959980550453,0.6549267250570571,0.1166236751374384,0,1,0,0.0,1
2018-03-16,0.2030891849457541,0.38018175409687377,0.44272567675200664,0.17709256915111968,0,1,0,0.0,1
2018-03-27,0.2140475723192355,0.28054321100703544,0.6529611503051647,0.06649563868779997,0,1,0,0.0,1
2018-04-16,0.11826280691859961,0.24818098550601472,0.6219008359065702,0.1299181785874151,0,1,0,0.0,1
2018-06-22,0.07097871477552323,0.25581564489406683,0.5593474249873895,0.1848369301185436,0,1,0,0.0,1
2018-10-23,0.15860741502834527,0.22890732776572334,0.7007927594968987,0.07029991273737807,0,1,0,0.0,1
2018-11-30,0.4822035199000248,0.5382038282345448,0.4057958634309352,0.05600030833452002,1,0,0,0.0,1
2019-01-03,0.032414929456327915,0.218374799855081,0.5956653297461659,0.18595987039875306,0,2,0,0.009274273606221493,2
2019-02-22,0.16612511356744664,0.2522783368940377,0.6615684397793712,0.08615322332659107,0,1,0,0.0,1
2019-04-01,0.22788366341296304,0.34926347847388267,0.5293567064651976,0.12137981506091963,0,1,0,0.0,1
2019-04-16,-0.0008450583417455304,0.24573018328538518,0.5076945750874841,0.2465752416271307,0,1,0,0.0,1
2019-04-18,-0.04649554071696532,0.17147040886105847,0.6105636415609177,0.2179659495780238,0,1,0,0.0,1
2019-04-22,-0.014494752158477564,0.27039920693650915,0.4447068339685042,0.2848939590949867,0,1,0,0.0,1
2019-04-25,-0.060420070046258066,0.2424559182400575,0.4546680934736269,0.30287598828631557,0,3,0,0.09981902257494935,3
2019-04-29,0.030211754950686065,0.2260611071045514,0.5780895407415831,0.19584935215386534,0,1,0,0.0,1
2019-05-01,0.04957684914637178,0.2725062993721457,0.5045642504020803,0.22292945022577396,0,3,0,0.09074146107513144,3
2019-05-07,-0.0008450583417455304,0.24573018328538518,0.5076945750874841,0.2465752416271307,0,1,0,0.0,1
2019-05-10,-0.017147148428232784,0.1988451093171072,0.5851626329375529,0.21599225774533998,0,1,0,0.0,1
2019-05-13,-0.0008450583417455304,0.24573018328538518,0.5076945750874841,0.2465752416271307,0,1,0,0.0,1
2019-05-14,-0.014494752158477564,0.27039920693650915,0.4447068339685042,0.2848939590949867,0,1,0,0.0,1
2019-05-15,-0.013592460380095456,0.2932520962720102,0.39990334707588415,0.30684455665210564,0,2,0,0.008177594307057726,2
2019-05-16,-0.015702990732373773,0.20640567169633922,0.5714856658749478,0.222108662428713,0,1,0,0.0,1
2019-05-17,-0.12231025622661151,0.25660285476316674,0.3644840342470549,0.37891311098977826,0,0,1,0.0,1
2019-05-20,-0.02595136655926844,0.2633411615157951,0.4473663104091412,0.28929252807506356,0,1,0,0.0,1
2019-05-21,-0.0008450583417455304,0.24573018328538518,0.5076945750874841,0.2465752416271307,0,1,0,0.0,1
2019-05-22,-0.14744388230608538,0.22552422222620863,0.40150767324149744,0.372968104532294,0,1,0,0.0,1
2019-05-23,-0.21255240712374437,0.24563815223417676,0.2961712884079021,0.45819055935792113,0,0,1,0.0,1
2019-05-24,-0.017891315448224893,0.23823922427754943,0.5056302359966762,0.2561305397257743,0,1,0,0.0,1
2019-05-28,0.0441545818880696,0.24781964539833304,0.5485152910914035,0.20366506351026342,0,2,0,0.08294268363277713,2
2019-05-29,-0.12862589419526416,0.2512184809308375,0.3689371439430608,0.37984437512610164,0,0,1,0.0,1
2019-05-30,-0.14824706061063575,0.2787008331434178,0.29435127310252857,0.42694789375405356,0,0,1,0.0,1
2019-05-31,-0.06900662347949264,0.23150426322975298,0.4679848500610013,0.30051088670924564,0,1,1,0.07538272035473015,2
